name,gender,culture,born,died,titles,aliases,playedBy,tvSeries
Selmond Stackspear,Male,"","","",Lord,"","",""
Selwyn Tarth,Male,"",In 245 AC or 246 AC,"",Lord of Evenfall,the Evenstar,"",""
Serala of Myr,Female,Myrish,In Myr,"",Lady of Duskendale,The Lace Serpent,"",""
Serra Frey,Female,"",In 285 AC,"","","","",""
Serwyn,Male,"","","",Ser (in songs and tales),Serwyn of the Mirror Shield,"",""
Shadrich,Male,"","","",Ser,"Shadrich of the Shady Glen, The Mad Mouse","",""
Shaera Targaryen,Female,Valyrian,In 226 AC,In or after 259AC,"Princess, Queen","","",""
Shella Whent,Female,Rivermen,"",In +/- 300 AC,Lady of Harrenhal,"","",""
Shiera Crakehall,Female,"","","","","","",""
Shierle Swyft,Female,"","","","","","",""
Shireen Baratheon,Female,"","In 289 AC, at Dragonstone","",Princess,"",Kerry Ingram,"Season 3, Season 4, Season 5"
Shirei Frey,Female,"",In 292 AC or 293 AC,"","","","",""
Shyra Errol,Female,"","","",Lady of Haystack Hall,"","",""
Sigfry Stonetree,Male,Ironborn,"","","","","",""
Sigfryd Harlaw,Male,Ironborn,"","",Master of Harlaw Hall,Sigfryd Silverhair,"",""
Sigorn,Male,Thenn,At Thenn,"",Magnar of Thenn,"","",""
Simon Leygood,Male,"","","",Ser,"","",""
Simon Staunton,Male,"","","",Ser,"","",""
Simon Toyne,Male,"","","In 281 AC, at the Kingswood","","","",""
Stafford Lannister,Male,Westerman,In or between 246 AC and 253 AC,"In 299 AC, at Oxcross",Ser,Uncle Dolt,"",""
Steffarion Sparr,Male,Ironborn,"","","","","",""
Steffon Baratheon,Male,"","In 246 AC, at Shipbreaker Bay",In 278 AC,"Lord of Storm's End, Lord Paramount of the Stormlands","","",""
Steffon Darklyn,Male,"","","In 129 AC, at Dragonstone","Ser, Lord Commander of the Queensguard","","",""
Steffon Fossoway,Male,"","","",Ser,"","",""
Steffon Frey,Male,"",In or between 263 AC and 280 AC,"","",Steffon the Sweet,"",""
Steffon Hollard,Male,"","","",Ser,"","",""
Steffon Stackspear,Male,"","","",Ser,"","",""
Steffon Swyft,Male,"","","",Ser,"","",""
Steffon Varner,Male,"","","",Lord,"","",""
Stevron Frey,Male,"","In 233 AC or 234 AC, at Twins","In 299 AC, at Oxcross",Ser,"",Colin Carnegie,Season 1
Stonesnake,Male,"",In or between 250 AC and 253 AC,"","","","",""
Sumner Crakehall,Male,"","","",Lord of Crakehall,"","",""
Sybell Spicer,Female,"","","",Lady of the Crag,"","",""
Sybelle Glover,Female,Northmen,"","",Lady of Deepwood Motte,"","",""
Sylva Santagar,Female,Dornish,"In 276 AC or 277 AC, at Spottswood","",Lady of Greenstone,Spotted Sylva,"",""
Sylwa Paege,Female,"","","","","","",""
